fpr,tpr,threshold,auc
0.0,0.0,inf,0.8736842105263158
0.0,0.05263157894736842,0.9994250873655247,0.8736842105263158
0.0,0.7894736842105263,0.615651343629234,0.8736842105263158
0.4,0.7894736842105263,0.4767465003843893,0.8736842105263158
0.4,0.8421052631578947,0.45081827340081976,0.8736842105263158
0.6,0.8421052631578947,0.40708915798351925,0.8736842105263158
0.6,0.9473684210526315,0.3232332662250383,0.8736842105263158
0.8,0.9473684210526315,0.32200546747660863,0.8736842105263158
0.8,1.0,0.23658593829900681,0.8736842105263158
1.0,1.0,0.17502320443010125,0.8736842105263158
